GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assessment-service,org.assessment.entity,Submission,0,42,0,0,0,12,0,12,0,12
assessment-service,org.assessment.entity,Review,0,49,0,0,0,14,0,14,0,14
assessment-service,org.assessment.entity,Assignment,4,101,0,0,1,29,1,29,1,29
assessment-service,org.assessment.security,FeignAuthInterceptor,0,70,0,14,0,14,0,9,0,2
assessment-service,org.assessment.security,SecurityConfig,36,16,0,0,3,6,2,1,2,1
assessment-service,org.assessment.security,JwtUtil,1,88,1,5,0,24,1,10,0,8
assessment-service,org.assessment.security,HeaderAuthFilter,0,46,0,8,0,11,0,6,0,2
assessment-service,org.assessment,AssessmentServiceApplication,3,5,0,0,1,2,1,1,1,1
assessment-service,org.assessment.config,SwaggerConfig,0,17,0,0,0,6,0,2,0,2
assessment-service,org.assessment.config,DynamoDbConfig,0,17,0,0,0,7,0,3,0,3
assessment-service,org.assessment.config,AwsS3Config,0,20,0,0,0,6,0,2,0,2
assessment-service,org.assessment.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
assessment-service,org.assessment.exception,FileUploadException,0,4,0,0,0,2,0,1,0,1
assessment-service,org.assessment.exception,ValidationException,0,4,0,0,0,2,0,1,0,1
assessment-service,org.assessment.exception,ErrorResponse,0,12,0,0,0,6,0,1,0,1
assessment-service,org.assessment.exception,GlobalExceptionHandler,0,66,0,0,0,16,0,7,0,7
assessment-service,org.assessment.storage,FileUploadResponse,0,3,0,0,0,1,0,1,0,1
assessment-service,org.assessment.storage,S3ServiceImpl,0,175,2,24,0,40,2,16,0,5
assessment-service,org.assessment.util,CommonUtil,0,95,2,20,0,20,2,13,0,4
assessment-service,org.assessment.controller,ReviewController,0,27,0,0,0,4,0,4,0,4
assessment-service,org.assessment.controller,AssignmentController,0,47,0,0,0,9,0,7,0,7
assessment-service,org.assessment.controller,ReportController,0,34,0,0,0,7,0,3,0,3
assessment-service,org.assessment.controller,SubmissionController,0,34,0,0,0,5,0,5,0,5
assessment-service,org.assessment.controller,DashboardController,0,18,0,0,0,3,0,3,0,3
assessment-service,org.assessment.controller,StudentAssignmentController,0,20,0,0,0,3,0,3,0,3
assessment-service,org.assessment.mapper,SubmissionMapper,0,116,0,18,0,31,0,13,0,4
assessment-service,org.assessment.mapper,AssignmentReviewMapper,0,87,0,10,0,24,0,8,0,3
assessment-service,org.assessment.mapper,AssignmentMapper,0,131,0,10,0,37,0,8,0,3
assessment-service,org.assessment.repository,ReviewRepository,0,58,0,0,0,12,0,7,0,7
assessment-service,org.assessment.repository,AssignmentRepository,0,78,0,0,0,15,0,9,0,9
assessment-service,org.assessment.repository,SubmissionRepository,0,126,0,8,0,21,0,17,0,13
assessment-service,org.assessment.service.impl,ReportServiceImpl,0,301,2,32,0,68,2,21,0,6
assessment-service,org.assessment.service.impl,ReviewServiceImpl,0,225,0,14,0,37,0,18,0,11
assessment-service,org.assessment.service.impl,AssignmentServiceImpl,0,283,2,32,0,63,2,26,0,11
assessment-service,org.assessment.service.impl,StudentAssignmentServiceImpl,1,321,1,35,0,72,1,29,0,12
assessment-service,org.assessment.service.impl,SubmissionServiceImpl,0,231,0,12,0,42,0,18,0,12
assessment-service,org.assessment.service.impl,DashboardServiceImpl,0,264,0,24,0,66,0,17,0,5
assessment-service,org.assessment.enums,DifficultyLevel,0,21,0,0,0,4,0,1,0,1
assessment-service,org.assessment.enums,AssignmentStatus,0,21,0,0,0,4,0,1,0,1
assessment-service,org.assessment.enums,AssignmentType,0,21,0,0,0,4,0,1,0,1
assessment-service,org.assessment.enums,SubmissionStatus,0,27,0,0,0,5,0,1,0,1
assessment-service,org.assessment.enums,Role,0,21,0,0,0,4,0,1,0,1
assessment-service,org.assessment.enums,ResultStatus,0,21,0,0,0,4,0,1,0,1
